city,city_cn,province,lon,lat,year,data_mode,annual_precip,valid_days,dry_days,trace_days,wet_days,max_1day_precip,light_amount,moderate_amount,heavy_amount,extreme_amount,light_days,moderate_days,heavy_days,extreme_days,classified_precip,light_amount_ratio,light_day_ratio,moderate_amount_ratio,moderate_day_ratio,heavy_amount_ratio,heavy_day_ratio,extreme_amount_ratio,extreme_day_ratio,classification_coverage
Changsha,长沙,Hunan,112.9388,28.2282,2000,real_open_meteo,1887.2,366,146,0,220,75.8,467.1,808.8,288.9,322.4,152,54,9,5,1887.2,0.24751,0.690909,0.428571,0.245455,0.153084,0.040909,0.170835,0.022727,1.0
Changsha,长沙,Hunan,112.9388,28.2282,2001,real_open_meteo,1559.8,365,163,0,202,51.6,409.6,647.8,450.8,51.6,147,40,14,1,1559.8,0.262598,0.727723,0.41531,0.19802,0.289011,0.069307,0.033081,0.00495,1.0
Changsha,长沙,Hunan,112.9388,28.2282,2002,real_open_meteo,2154.3,365,130,0,235,76.8,492.0,795.2,661.2,205.9,162,50,20,3,2154.3,0.22838,0.689362,0.369122,0.212766,0.306921,0.085106,0.095576,0.012766,1.0
Changsha,长沙,Hunan,112.9388,28.2282,2003,real_open_meteo,1567.0,365,187,0,178,74.7,394.9,521.4,356.8,293.9,126,36,11,5,1567.0,0.25201,0.707865,0.332738,0.202247,0.227696,0.061798,0.187556,0.02809,1.0
Changsha,长沙,Hunan,112.9388,28.2282,2004,real_open_meteo,1532.0,366,189,0,177,75.7,332.5,743.8,265.8,189.9,120,46,8,3,1532.0,0.217037,0.677966,0.485509,0.259887,0.173499,0.045198,0.123956,0.016949,1.0
Changsha,长沙,Hunan,112.9388,28.2282,2005,real_open_meteo,1748.5,365,178,0,187,94.5,416.4,541.8,569.3,221.0,134,34,16,3,1748.5,0.238147,0.716578,0.309866,0.181818,0.325593,0.085561,0.126394,0.016043,1.0
Changsha,长沙,Hunan,112.9388,28.2282,2006,real_open_meteo,1274.3,365,186,0,179,54.5,420.7,378.3,420.8,54.5,142,24,12,1,1274.3,0.330142,0.793296,0.296869,0.134078,0.330221,0.067039,0.042769,0.005587,1.0
Changsha,长沙,Hunan,112.9388,28.2282,2007,real_open_meteo,1132.5,365,188,0,177,50.6,399.2,483.1,199.6,50.6,140,31,5,1,1132.5,0.352494,0.79096,0.426578,0.175141,0.176247,0.028249,0.04468,0.00565,1.0
Changsha,长沙,Hunan,112.9388,28.2282,2008,real_open_meteo,1241.3,366,186,0,180,128.3,327.4,401.9,324.5,187.5,144,24,10,2,1241.3,0.263756,0.8,0.323773,0.133333,0.261419,0.055556,0.151051,0.011111,1.0
Changsha,长沙,Hunan,112.9388,28.2282,2009,real_open_meteo,1292.5,365,193,0,172,57.9,353.1,506.2,213.8,219.4,130,32,6,4,1292.5,0.273191,0.755814,0.391644,0.186047,0.165416,0.034884,0.169749,0.023256,1.0
Changsha,长沙,Hunan,112.9388,28.2282,2010,real_open_meteo,1909.9,365,168,0,197,144.4,414.4,570.3,517.8,407.4,141,36,15,5,1909.9,0.216975,0.715736,0.298602,0.182741,0.271114,0.076142,0.21331,0.025381,1.0
Changsha,长沙,Hunan,112.9388,28.2282,2011,real_open_meteo,1084.2,365,205,0,160,48.8,328.3,336.1,419.8,0.0,127,21,12,0,1084.2,0.302804,0.79375,0.309998,0.13125,0.387198,0.075,0.0,0.0,1.0
Changsha,长沙,Hunan,112.9388,28.2282,2012,real_open_meteo,1946.0,366,151,0,215,97.5,414.9,791.0,495.2,244.9,148,49,15,3,1946.0,0.213207,0.688372,0.406475,0.227907,0.254471,0.069767,0.125848,0.013953,1.0
Changsha,长沙,Hunan,112.9388,28.2282,2013,real_open_meteo,1131.3,365,204,0,161,43.8,302.3,504.3,324.7,0.0,120,31,10,0,1131.3,0.267215,0.745342,0.44577,0.192547,0.287015,0.062112,0.0,0.0,1.0
Changsha,长沙,Hunan,112.9388,28.2282,2014,real_open_meteo,1714.2,365,169,0,196,59.6,401.4,656.5,484.9,171.4,135,43,15,3,1714.2,0.234162,0.688776,0.382977,0.219388,0.282872,0.076531,0.099988,0.015306,1.0
Changsha,长沙,Hunan,112.9388,28.2282,2015,real_open_meteo,1943.6,365,148,0,217,83.7,461.3,610.0,485.6,386.7,157,40,14,6,1943.6,0.237343,0.723502,0.313851,0.184332,0.249846,0.064516,0.198961,0.02765,1.0
Changsha,长沙,Hunan,112.9388,28.2282,2016,real_open_meteo,2138.2,366,162,0,204,220.9,424.6,705.5,432.1,576.0,141,45,12,6,2138.2,0.198578,0.691176,0.32995,0.220588,0.202086,0.058824,0.269385,0.029412,1.0
Changsha,长沙,Hunan,112.9388,28.2282,2017,real_open_meteo,1550.8,365,161,0,204,62.6,379.3,641.7,413.5,116.3,148,42,12,2,1550.8,0.244583,0.72549,0.413786,0.205882,0.266637,0.058824,0.074994,0.009804,1.0
Changsha,长沙,Hunan,112.9388,28.2282,2018,real_open_meteo,1231.5,365,138,0,227,57.3,550.6,523.5,100.1,57.3,188,35,3,1,1231.5,0.447097,0.828194,0.425091,0.154185,0.081283,0.013216,0.046529,0.004405,1.0
Changsha,长沙,Hunan,112.9388,28.2282,2019,real_open_meteo,1567.6,365,142,0,223,77.8,510.6,448.4,345.6,263.0,181,28,10,4,1567.6,0.325721,0.811659,0.286042,0.125561,0.220464,0.044843,0.167772,0.017937,1.0
Changsha,长沙,Hunan,112.9388,28.2282,2020,real_open_meteo,1591.7,366,147,0,219,45.3,457.4,665.8,468.5,0.0,160,44,15,0,1591.7,0.287366,0.730594,0.418295,0.200913,0.294339,0.068493,0.0,0.0,1.0
Changsha,长沙,Hunan,112.9388,28.2282,2021,real_open_meteo,1541.0,365,152,0,213,69.3,468.5,565.6,380.0,126.9,162,37,12,2,1541.0,0.304023,0.760563,0.367034,0.173709,0.246593,0.056338,0.082349,0.00939,1.0
Changsha,长沙,Hunan,112.9388,28.2282,2022,real_open_meteo,1708.1,365,177,0,188,79.1,380.3,571.0,476.7,280.1,133,37,14,4,1708.1,0.222645,0.707447,0.33429,0.196809,0.279082,0.074468,0.163983,0.021277,1.0
Changsha,长沙,Hunan,112.9388,28.2282,2023,real_open_meteo,1537.4,365,160,0,205,53.9,334.5,587.8,561.2,53.9,149,39,16,1,1537.4,0.217575,0.726829,0.382334,0.190244,0.365032,0.078049,0.035059,0.004878,1.0
Changsha,长沙,Hunan,112.9388,28.2282,2024,real_open_meteo,1821.0,366,158,0,208,98.2,397.6,464.6,513.0,445.8,155,31,16,6,1821.0,0.218342,0.745192,0.255135,0.149038,0.281713,0.076923,0.244811,0.028846,1.0
Jingzhou,荆州,Hubei,112.2397,30.3352,2000,real_open_meteo,1496.8,366,182,0,184,69.7,345.2,603.8,426.5,121.3,129,39,14,2,1496.8,0.230625,0.701087,0.403394,0.211957,0.284941,0.076087,0.08104,0.01087,1.0
Jingzhou,荆州,Hubei,112.2397,30.3352,2001,real_open_meteo,1019.5,365,208,0,157,69.4,301.2,441.0,86.5,190.8,120,31,3,3,1019.5,0.295439,0.764331,0.432565,0.197452,0.084846,0.019108,0.187151,0.019108,1.0
Jingzhou,荆州,Hubei,112.2397,30.3352,2002,real_open_meteo,1686.1,365,175,0,190,59.4,496.0,543.4,531.8,114.9,139,34,15,2,1686.1,0.29417,0.731579,0.322282,0.178947,0.315402,0.078947,0.068145,0.010526,1.0
Jingzhou,荆州,Hubei,112.2397,30.3352,2003,real_open_meteo,1473.3,365,191,0,174,138.5,380.5,362.5,377.4,352.9,134,25,11,4,1473.3,0.258264,0.770115,0.246046,0.143678,0.25616,0.063218,0.23953,0.022989,1.0
Jingzhou,荆州,Hubei,112.2397,30.3352,2004,real_open_meteo,1407.3,366,217,0,149,102.4,339.8,404.3,309.5,353.7,110,26,9,4,1407.3,0.241455,0.738255,0.287288,0.174497,0.219925,0.060403,0.251332,0.026846,1.0
Jingzhou,荆州,Hubei,112.2397,30.3352,2005,real_open_meteo,1086.6,365,211,0,154,82.1,295.3,446.1,263.1,82.1,116,30,7,1,1086.6,0.271765,0.753247,0.410547,0.194805,0.242131,0.045455,0.075557,0.006494,1.0
Jingzhou,荆州,Hubei,112.2397,30.3352,2006,real_open_meteo,787.5,365,222,0,143,29.6,397.1,303.0,87.4,0.0,122,18,3,0,787.5,0.504254,0.853147,0.384762,0.125874,0.110984,0.020979,0.0,0.0,1.0
Jingzhou,荆州,Hubei,112.2397,30.3352,2007,real_open_meteo,1130.5,365,208,0,157,68.0,298.7,490.5,210.1,131.2,115,33,7,2,1130.5,0.264219,0.732484,0.433879,0.210191,0.185847,0.044586,0.116055,0.012739,1.0
Jingzhou,荆州,Hubei,112.2397,30.3352,2008,real_open_meteo,1098.5,366,223,0,143,68.7,350.7,383.1,239.3,125.4,108,25,8,2,1098.5,0.319254,0.755245,0.348748,0.174825,0.217843,0.055944,0.114156,0.013986,1.0
Jingzhou,荆州,Hubei,112.2397,30.3352,2009,real_open_meteo,1045.5,365,207,0,158,66.0,278.8,334.6,314.5,117.6,122,24,10,2,1045.5,0.266667,0.772152,0.320038,0.151899,0.300813,0.063291,0.112482,0.012658,1.0
Jingzhou,荆州,Hubei,112.2397,30.3352,2010,real_open_meteo,1308.6,365,197,0,168,76.1,337.1,458.8,331.8,180.9,126,29,10,3,1308.6,0.257604,0.75,0.350604,0.172619,0.253553,0.059524,0.138239,0.017857,1.0
Jingzhou,荆州,Hubei,112.2397,30.3352,2011,real_open_meteo,949.7,365,236,0,129,77.3,287.0,200.3,308.6,153.8,105,12,10,2,949.7,0.302201,0.813953,0.210909,0.093023,0.324945,0.077519,0.161946,0.015504,1.0
Jingzhou,荆州,Hubei,112.2397,30.3352,2012,real_open_meteo,1342.2,366,199,0,167,131.0,386.1,335.2,313.6,307.3,133,21,10,3,1342.2,0.287662,0.796407,0.249739,0.125749,0.233646,0.05988,0.228952,0.017964,1.0
