city,city_cn,province,category,category_label,total_amount,total_days,amount_share,mean_annual_amount,mean_annual_days,mean_annual_share
Changsha,长沙,Hunan,light,Light precipitation amount,10238.9,3642,0.257221,409.556,145.68,0.264116
Changsha,长沙,Hunan,moderate,Moderate precipitation amount,14470.4,929,0.363524,578.816,37.16,0.365984
Changsha,长沙,Hunan,heavy,Heavy precipitation amount,10170.2,302,0.255495,406.808,12.08,0.255154
Changsha,长沙,Hunan,extreme,Extreme precipitation amount,4926.4,71,0.123761,197.056,2.84,0.114745
Jingzhou,荆州,Hubei,light,Light precipitation amount,8811.8,3196,0.287875,352.472,127.84,0.295602
Jingzhou,荆州,Hubei,moderate,Moderate precipitation amount,10461.8,685,0.341779,418.472,27.4,0.344088
Jingzhou,荆州,Hubei,heavy,Heavy precipitation amount,7431.2,224,0.242772,297.248,8.96,0.237688
Jingzhou,荆州,Hubei,extreme,Extreme precipitation amount,3905.0,54,0.127574,156.2,2.16,0.122621
Jiujiang,九江,Jiangxi,light,Light precipitation amount,9953.0,3581,0.25266,398.12,143.24,0.260842
Jiujiang,九江,Jiangxi,moderate,Moderate precipitation amount,13915.3,884,0.353244,556.612,35.36,0.35503
Jiujiang,九江,Jiangxi,heavy,Heavy precipitation amount,10492.0,316,0.266342,419.68,12.64,0.262382
Jiujiang,九江,Jiangxi,extreme,Extreme precipitation amount,5032.6,70,0.127754,201.304,2.8,0.121745
Nanchang,南昌,Jiangxi,light,Light precipitation amount,10021.2,3436,0.262663,400.848,137.44,0.266462
Nanchang,南昌,Jiangxi,moderate,Moderate precipitation amount,14199.4,887,0.372177,567.976,35.48,0.371647
Nanchang,南昌,Jiangxi,heavy,Heavy precipitation amount,9658.4,289,0.253154,386.336,11.56,0.250868
Nanchang,南昌,Jiangxi,extreme,Extreme precipitation amount,4273.3,60,0.112006,170.932,2.4,0.111023
Wuhan,武汉,Hubei,light,Light precipitation amount,8453.1,3187,0.253032,338.124,127.48,0.262674
Wuhan,武汉,Hubei,moderate,Moderate precipitation amount,10433.3,660,0.312307,417.332,26.4,0.319909
Wuhan,武汉,Hubei,heavy,Heavy precipitation amount,9228.2,269,0.276234,369.128,10.76,0.272988
Wuhan,武汉,Hubei,extreme,Extreme precipitation amount,5292.6,68,0.158427,211.704,2.72,0.144429
Yichang,宜昌,Hubei,light,Light precipitation amount,9437.8,3654,0.332777,377.512,146.16,0.343277
Yichang,宜昌,Hubei,moderate,Moderate precipitation amount,9589.9,624,0.33814,383.596,24.96,0.341464
Yichang,宜昌,Hubei,heavy,Heavy precipitation amount,6333.1,184,0.223305,253.324,7.36,0.216935
Yichang,宜昌,Hubei,extreme,Extreme precipitation amount,2999.9,41,0.105777,119.996,1.64,0.098324
Yueyang,岳阳,Hunan,light,Light precipitation amount,9904.2,3461,0.271758,396.168,138.44,0.280818
Yueyang,岳阳,Hunan,moderate,Moderate precipitation amount,12802.9,809,0.351295,512.116,32.36,0.35445
Yueyang,岳阳,Hunan,heavy,Heavy precipitation amount,9376.5,275,0.257279,375.06,11.0,0.25478
Yueyang,岳阳,Hunan,extreme,Extreme precipitation amount,4361.3,68,0.119668,174.452,2.72,0.109952
