city,city_cn,province,metric,metric_label,mk_s,mk_z,mk_p,mk_trend,sen_slope_per_year,sen_slope_per_decade,sen_intercept,sen_low_slope,sen_high_slope,significance
Changsha,长沙,Hunan,annual_precip,Annual precipitation,-2,-0.02335497,0.98136713,no significant trend,-0.38125,-3.8125,2334.075,-19.64444444,23.05384615,
Changsha,长沙,Hunan,light_amount,Light precipitation amount,8,0.16348478,0.87013676,no significant trend,0.225,2.25,-43.1,-3.25,4.08888889,
Changsha,长沙,Hunan,moderate_amount,Moderate precipitation amount,-32,-0.72400402,0.46906327,no significant trend,-3.40037879,-34.00378788,7411.86212121,-11.07777778,5.82857143,
Changsha,长沙,Hunan,heavy_amount,Heavy precipitation amount,34,0.77071395,0.4408765,no significant trend,3.3728022,33.72802198,-6365.27802198,-5.44705882,10.87142857,
Changsha,长沙,Hunan,extreme_amount,Extreme precipitation amount,-1,0.0,1.0,no significant trend,0.0,0.0,189.9,-9.2875,8.18571429,
Changsha,长沙,Hunan,light_amount_ratio,Light precipitation proportion,-10,-0.21019471,0.8335157,no significant trend,-0.00039143,-0.00391427,1.03506183,-0.00283837,0.00285344,
Changsha,长沙,Hunan,moderate_amount_ratio,Moderate precipitation proportion,-44,-1.00426364,0.31525156,no significant trend,-0.00181717,-0.01817167,4.02526133,-0.00543026,0.00190533,
Changsha,长沙,Hunan,heavy_amount_ratio,Heavy precipitation proportion,20,0.4437444,0.65722739,no significant trend,0.00134286,0.01342861,-2.43519956,-0.00269489,0.0054107,
Changsha,长沙,Hunan,extreme_amount_ratio,Extreme precipitation proportion,3,0.04675672,0.96270713,no significant trend,4.495e-05,0.00044955,0.03350745,-0.0050605,0.00598914,
Changsha,长沙,Hunan,light_days,Light precipitation days,74,1.70677564,0.08786376,no significant trend,0.82575758,8.25757576,-1517.42424242,-0.13043478,1.75,+
Changsha,长沙,Hunan,moderate_days,Moderate precipitation days,-31,-0.70211865,0.48260517,no significant trend,-0.24404762,-2.44047619,528.02380952,-0.75,0.4,
Changsha,长沙,Hunan,heavy_days,Heavy precipitation days,45,1.03795527,0.29929088,no significant trend,0.08514493,0.85144928,-159.3115942,-0.11764706,0.33333333,
Changsha,长沙,Hunan,extreme_days,Extreme precipitation days,-3,-0.04738237,0.96220848,no significant trend,0.0,0.0,3.0,-0.14285714,0.125,
Changsha,长沙,Hunan,max_1day_precip,Annual maximum 1-day precipitation,6,0.11677484,0.90703848,no significant trend,0.10490431,1.04904306,-136.36746411,-1.21875,1.28571429,
Jingzhou,荆州,Hubei,annual_precip,Annual precipitation,-30,-0.67729408,0.49821939,no significant trend,-5.05,-50.5,11319.3,-19.78181818,10.08235294,
Jingzhou,荆州,Hubei,light_amount,Light precipitation amount,39,0.88773094,0.3746855,no significant trend,1.10217391,11.02173913,-1866.87391304,-1.65625,4.12857143,
Jingzhou,荆州,Hubei,moderate_amount,Moderate precipitation amount,-6,-0.11677484,0.90703848,no significant trend,-0.40277778,-4.02777778,1248.98888889,-6.5952381,5.61538462,
Jingzhou,荆州,Hubei,heavy_amount,Heavy precipitation amount,-12,-0.25690465,0.79725238,no significant trend,-0.7254386,-7.25438596,1768.18245614,-7.08888889,4.96923077,
Jingzhou,荆州,Hubei,extreme_amount,Extreme precipitation amount,-59,-1.35495775,0.17543102,no significant trend,-3.20454545,-32.04545455,6578.74545455,-8.65,0.94,
Jingzhou,荆州,Hubei,light_amount_ratio,Light precipitation proportion,62,1.42465307,0.15425751,no significant trend,0.00190388,0.01903881,-3.54294648,-0.0006508,0.0046886,
Jingzhou,荆州,Hubei,moderate_amount_ratio,Moderate precipitation proportion,-4,-0.0700649,0.944142,no significant trend,-0.00011706,-0.00117058,0.58426937,-0.00446537,0.003756,
Jingzhou,荆州,Hubei,heavy_amount_ratio,Heavy precipitation proportion,2,0.02335497,0.98136713,no significant trend,0.00041826,0.00418259,-0.60789065,-0.00346714,0.00509333,
Jingzhou,荆州,Hubei,extreme_amount_ratio,Extreme precipitation proportion,-47,-1.07462166,0.28254415,no significant trend,-0.00204754,-0.02047539,4.23213024,-0.007485,0.00239787,
Jingzhou,荆州,Hubei,light_days,Light precipitation days,96,2.22114638,0.02634105,increasing,0.97826087,9.7826087,-1839.26086957,0.2,1.76923077,*
Jingzhou,荆州,Hubei,moderate_days,Moderate precipitation days,-17,-0.37494279,0.70770301,no significant trend,-0.07291667,-0.72916667,175.70833333,-0.4,0.30769231,
Jingzhou,荆州,Hubei,heavy_days,Heavy precipitation days,-26,-0.59378124,0.55265844,no significant trend,0.0,0.0,9.0,-0.23076923,0.14285714,
Jingzhou,荆州,Hubei,extreme_days,Extreme precipitation days,-64,-1.55409555,0.12016163,no significant trend,0.0,0.0,2.0,-0.11111111,0.0,
Jingzhou,荆州,Hubei,max_1day_precip,Annual maximum 1-day precipitation,-26,-0.58387421,0.55930495,no significant trend,-0.39555556,-3.95555556,865.55777778,-1.66666667,1.04545455,
Jiujiang,九江,Jiangxi,annual_precip,Annual precipitation,-32,-0.72400402,0.46906327,no significant trend,-7.37467105,-73.74671053,16452.63815789,-25.77142857,8.675,
Jiujiang,九江,Jiangxi,light_amount,Light precipitation amount,106,2.45227167,0.01419574,increasing,4.07333333,40.73333333,-7801.94666667,1.345,7.03636364,*
Jiujiang,九江,Jiangxi,moderate_amount,Moderate precipitation amount,-76,-1.75162262,0.07983872,no significant trend,-5.15769231,-51.57692308,10932.07692308,-11.41428571,1.15,+
Jiujiang,九江,Jiangxi,heavy_amount,Heavy precipitation amount,-12,-0.25690465,0.79725238,no significant trend,-1.43106061,-14.31060606,3278.79393939,-9.9,8.5,
Jiujiang,九江,Jiangxi,extreme_amount,Extreme precipitation amount,-44,-1.00554424,0.31463486,no significant trend,-3.66626984,-36.66269841,7566.63492063,-10.26,4.99333333,
Jiujiang,九江,Jiangxi,light_amount_ratio,Light precipitation proportion,86,1.98517231,0.0471253,increasing,0.00333755,0.03337555,-6.47552175,2.87e-06,0.0067062,*
Jiujiang,九江,Jiangxi,moderate_amount_ratio,Moderate precipitation proportion,-46,-1.05097357,0.29327073,no significant trend,-0.00138133,-0.01381333,3.13884867,-0.00472936,0.00144718,
Jiujiang,九江,Jiangxi,heavy_amount_ratio,Heavy precipitation proportion,-16,-0.35032452,0.72609516,no significant trend,-0.00069411,-0.00694107,1.65334257,-0.00440044,0.00320693,
Jiujiang,九江,Jiangxi,extreme_amount_ratio,Extreme precipitation proportion,-35,-0.79486419,0.42669251,no significant trend,-0.0016497,-0.016497,3.4532024,-0.0061328,0.00255944,
Jiujiang,九江,Jiangxi,light_days,Light precipitation days,143,3.32093714,0.00089716,increasing,1.57983193,15.79831933,-3041.62184874,0.89473684,2.11764706,***
Jiujiang,九江,Jiangxi,moderate_days,Moderate precipitation days,-80,-1.85212781,0.06400747,no significant trend,-0.34166667,-3.41666667,722.43333333,-0.73333333,0.0,+
Jiujiang,九江,Jiangxi,heavy_days,Heavy precipitation days,-5,-0.09402876,0.92508631,no significant trend,0.0,0.0,12.0,-0.26315789,0.23529412,
Jiujiang,九江,Jiangxi,extreme_days,Extreme precipitation days,-46,-1.07734868,0.28132452,no significant trend,-0.02173913,-0.2173913,46.73913043,-0.15384615,0.0,
Jiujiang,九江,Jiangxi,max_1day_precip,Annual maximum 1-day precipitation,-12,-0.25690465,0.79725238,no significant trend,-0.25069444,-2.50694444,587.89722222,-1.97647059,1.58,
Nanchang,南昌,Jiangxi,annual_precip,Annual precipitation,30,0.67729408,0.49821939,no significant trend,4.4925,44.925,-7468.51,-11.15555556,21.55833333,
Nanchang,南昌,Jiangxi,light_amount,Light precipitation amount,46,1.05097357,0.29327073,no significant trend,2.34230769,23.42307692,-4303.62307692,-2.47,5.36666667,
Nanchang,南昌,Jiangxi,moderate_amount,Moderate precipitation amount,34,0.77071395,0.4408765,no significant trend,3.11071429,31.10714286,-5692.65714286,-5.8,9.7,
Nanchang,南昌,Jiangxi,heavy_amount,Heavy precipitation amount,58,1.33123319,0.18311229,no significant trend,2.60519481,26.05194805,-4882.65194805,-1.7,10.425,
Nanchang,南昌,Jiangxi,extreme_amount,Extreme precipitation amount,-12,-0.25690465,0.79725238,no significant trend,-0.54615385,-5.46153846,1267.06153846,-7.31428571,4.71875,
Nanchang,南昌,Jiangxi,light_amount_ratio,Light precipitation proportion,6,0.11677484,0.90703848,no significant trend,0.00023255,0.00232555,-0.20497297,-0.0026085,0.00243114,
Nanchang,南昌,Jiangxi,moderate_amount_ratio,Moderate precipitation proportion,-8,-0.16348478,0.87013676,no significant trend,-0.00032247,-0.0032247,1.0082072,-0.003906,0.00324343,
Nanchang,南昌,Jiangxi,heavy_amount_ratio,Heavy precipitation proportion,30,0.67729408,0.49821939,no significant trend,0.00091662,0.00916625,-1.5975525,-0.00180029,0.00426137,
Nanchang,南昌,Jiangxi,extreme_amount_ratio,Extreme precipitation proportion,-30,-0.67729408,0.49821939,no significant trend,-0.00119837,-0.01198365,2.51180834,-0.0058571,0.00257982,
Nanchang,南昌,Jiangxi,light_days,Light precipitation days,91,2.10481932,0.03530704,increasing,0.78888889,7.88888889,-1451.24444444,0.07142857,1.52631579,*
Nanchang,南昌,Jiangxi,moderate_days,Moderate precipitation days,25,0.56282644,0.57355307,no significant trend,0.11428571,1.14285714,-194.94285714,-0.375,0.5,
Nanchang,南昌,Jiangxi,heavy_days,Heavy precipitation days,56,1.29756444,0.19443705,no significant trend,0.14285714,1.42857143,-276.42857143,-0.05555556,0.33333333,
Nanchang,南昌,Jiangxi,extreme_days,Extreme precipitation days,-20,-0.46586915,0.64130916,no significant trend,0.0,0.0,2.0,-0.07692308,0.0,
Nanchang,南昌,Jiangxi,max_1day_precip,Annual maximum 1-day precipitation,-2,-0.02335497,0.98136713,no significant trend,-0.07745098,-0.7745098,233.43137255,-1.4125,1.28333333,
Wuhan,武汉,Hubei,annual_precip,Annual precipitation,26,0.58387421,0.55930495,no significant trend,3.45,34.5,-5671.9,-15.21666667,20.21818182,
Wuhan,武汉,Hubei,light_amount,Light precipitation amount,44,1.00426364,0.31525156,no significant trend,2.0042735,20.04273504,-3694.6982906,-1.32,4.86666667,
Wuhan,武汉,Hubei,moderate_amount,Moderate precipitation amount,-38,-0.86413383,0.38751438,no significant trend,-3.03080808,-30.30808081,6509.48585859,-7.61538462,3.28181818,
Wuhan,武汉,Hubei,heavy_amount,Heavy precipitation amount,26,0.58387421,0.55930495,no significant trend,2.1423913,21.42391304,-3962.59130435,-5.14736842,10.52608696,
Wuhan,武汉,Hubei,extreme_amount,Extreme precipitation amount,13,0.2805403,0.77906301,no significant trend,1.68020833,16.80208333,-3192.87916667,-9.43076923,10.85,
Wuhan,武汉,Hubei,light_amount_ratio,Light precipitation proportion,18,0.39703446,0.69134205,no significant trend,0.00092225,0.0092225,-1.593577,-0.00259967,0.00437656,
Wuhan,武汉,Hubei,moderate_amount_ratio,Moderate precipitation proportion,-56,-1.28452326,0.19895893,no significant trend,-0.00304403,-0.03044033,6.44233207,-0.0063209,0.00213445,
Wuhan,武汉,Hubei,heavy_amount_ratio,Heavy precipitation proportion,36,0.81742389,0.41368623,no significant trend,0.00187767,0.01877667,-3.51092633,-0.00144541,0.00567456,
Wuhan,武汉,Hubei,extreme_amount_ratio,Extreme precipitation proportion,15,0.32729702,0.74344325,no significant trend,0.00063026,0.0063026,-1.13763735,-0.00570878,0.006632,
Wuhan,武汉,Hubei,light_days,Light precipitation days,97,2.24801137,0.02457547,increasing,1.08333333,10.83333333,-2052.66666667,0.26086957,2.0,*
Wuhan,武汉,Hubei,moderate_days,Moderate precipitation days,-49,-1.12503433,0.26057449,no significant trend,-0.18181818,-1.81818182,391.81818182,-0.44444444,0.16666667,
Wuhan,武汉,Hubei,heavy_days,Heavy precipitation days,36,0.82176834,0.41120876,no significant trend,0.10818713,1.08187135,-206.67251462,-0.15384615,0.3125,
Wuhan,武汉,Hubei,extreme_days,Extreme precipitation days,24,0.55064488,0.58187714,no significant trend,0.0,0.0,3.0,-0.07692308,0.125,
Wuhan,武汉,Hubei,max_1day_precip,Annual maximum 1-day precipitation,-11,-0.2336134,0.81528512,no significant trend,-0.37628205,-3.76282051,840.67948718,-3.155,1.95555556,
Yichang,宜昌,Hubei,annual_precip,Annual precipitation,-14,-0.30361459,0.76142154,no significant trend,-3.62826087,-36.2826087,8431.26086957,-17.99,13.75,
Yichang,宜昌,Hubei,light_amount,Light precipitation amount,-72,-1.65820275,0.09727655,no significant trend,-2.21071429,-22.10714286,4834.05714286,-5.21666667,0.30769231,+
Yichang,宜昌,Hubei,moderate_amount,Moderate precipitation amount,20,0.4437444,0.65722739,no significant trend,1.43257576,14.32575758,-2483.34242424,-7.16153846,7.91428571,
Yichang,宜昌,Hubei,heavy_amount,Heavy precipitation amount,34,0.77071395,0.4408765,no significant trend,2.50641026,25.06410256,-4778.7974359,-3.4047619,9.0,
Yichang,宜昌,Hubei,extreme_amount,Extreme precipitation amount,-34,-0.78482497,0.4325562,no significant trend,-0.80848214,-8.08482143,1720.66607143,-9.24,4.31,
Yichang,宜昌,Hubei,light_amount_ratio,Light precipitation proportion,-36,-0.81742389,0.41368623,no significant trend,-0.00158981,-0.0158981,3.53548476,-0.00564679,0.00250973,
Yichang,宜昌,Hubei,moderate_amount_ratio,Moderate precipitation proportion,18,0.39703446,0.69134205,no significant trend,0.00155653,0.0155653,-2.78737014,-0.00493015,0.00714567,
